objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location
0001,¡Qué desastre de flautista!,"Antón, Rocío (autor); Núñez, Lola (autor); Anaya (editorial)",2015,Transporte,Flute players               ,,,,,9788467860856,Text,application/pdf,español,,,record,
0002,En Avión,"Mayer, Cassie (autor); Capstone Classroom (editorial)",2006-10-06,"Describes traveling in airplanes, how they fly, where they go and and what they do.",Juvenile Nonfiction; General; Juvenile Nonfiction; Readers; Beginner; Juvenile Nonfiction; Transportation; Aviation; Transportation; Aviation; General          ,,,,,9781403486387,Text,application/pdf,español,,,record,
0003,Camiones En Acción,"Ode, Eric  (autor);Culotta, Kent  (autor); Kane/Miller Book Publishers (editorial)",2019-03-15,"¡Todos los camiones van a trabajar! Van de un lado a otro, de aquí para allá, ​muy atareados de ciudad en ciudad.",Juvenile Fiction; Transportation; Cars & Trucks              ,,,,,9781610679589,Text,application/pdf,español,,,record,
0004,Como Nos Transportamos,"Owen, Weldon  (autor); McGraw-Hill Education (editorial)",2001-01-01,,,,,,,769912656,Text,application/pdf,inglés,,,record,
0005,El autobus escolar,"Crews, Donald  (autor); Scholastic, Incorporated (editorial)",1991,Vienen para acá. Y van para allá. Los autobus escolares amarillos cruzan por el pueblo.,"Children's stories, American               ",,,,,9780590453073,Text,application/pdf,español,,,record,
0006,Vehículos de Emergencia,"Arlon, Penelope  (autor); Scholastic Incorporated (editorial)",2013-08-27,"Mira como van al rescate autos de policía, camiones de bomberos y ambulancias. ¡Descubre también otros vehículos de rescate que viajan por agua y aire! Para lectores principiantes.",Juvenile Nonfiction; Health & Daily Living; First Aid; Juvenile Nonfiction; Reference; General; Juvenile Nonfiction; Transportation; General           ,,,,,9780545565622,Text,application/pdf,español,,,record,
0007,"Botes, Buques, Submarinos","Graham, Ian  (autor); Larousse Kingfisher Chambers (editorial)",1999-02,,Ships; Juvenile literature; Boats and boating; Ships Juvenile literature.; Boats and boating Juvenile literature.; Ships.; Boats and boating.          ,,,,,9706077804,Text,application/pdf,español,,,record,
0008,Viajes Por la Tierra,"Chancellor, Deborah  (autor); Cooper Square Publishing Llc (editorial)",2000,"Este libro investiga los distintos modos de transporte terrestre, desde los automóviles de carrera a los que se desplazan por la nieve.",Transportation               ,,,,,9781587287039,Text,application/pdf,español,,,record,
0009,Viajes Por Tierra,"Chancellor, Deborah  (autor); editorial)",,,,,,,,1587286467,Text,application/pdf,español,,,record,
0010,PEQUEÑO PEATÓN,"Geis, Patricia  (autor); Combel Editorial, S.A. (editorial)",2015-11,"Aprende con Pequeñ̃o Gato a ser un buen peatón y acompáñale a circular por la ciudad con seguridad. Un libro interactivo con solapas, sorpresas y hasta ¡una cuidad pop-up!",Juvenile Nonfiction; Concepts; General; Juvenile Nonfiction; Games & Activities; General; Juvenile Nonfiction; Health & Daily Living; General; Juvenile Nonfiction; Health & Daily Living; Safety; Juvenile Nonfiction; Transportation; General        ,,,,,9788498259421,Text,application/pdf,español,,,record,
0011,Gran Libro Illustrado - Dinosaurio,"Frith, Alex  (autor); EDC Publishing (editorial)",2019,"Las ilustraciones de este libro y su original enfoque dan nueva vida al tema de los dinosaurios, un gran favorito de los niños. Las magníficas escenas, acompañadas de textos que añaden información científica avalada por expertos, dejarán boquiabiertos a los pequeños fans de la paleontología.",,,,,,9780794546410,Text,application/pdf,español,,,record,
0012,De renacuajo a rana,"Berger, Melvin (autor); Berger, Gilda  (autor); Scholastic (editorial)",2006,,Juvenile Nonfiction; Animals; Frogs & Toads              ,,,,,9780439828642,Text,application/pdf,español,,,record,
0013,Los Reptiles Son Animales,"Holloway, Judith (autor); Harper, Clive  (autor); editorial)",,,Ciencia               ,,,,,813667097,Text,application/pdf,español,,,record,
0014,Galapagos/Tortugas de Mar,"Meadow, Graham (autor); Vial, Clare  (autor); Dominie Press (editorial)",2004-10-14,"Nonfiction text features such as tables of contents, headings, glossaries, labels, and highlighted vocabulary enable students to easily locate information. With a sophisticated design and high-interest content, this series will appeal to readers of all ages.",Education; Schools; Levels; Elementary             ,,,,,768503841,Text,application/pdf,español,,,record,
0015,Reptiles,"SpanPress, Matero, Robert  (autor); DDL Books (editorial)",1998,"Describes, in brief text and illustrations, the physical characteristics, habits, and natural environment of various species of reptiles.",Education; Teaching; Subjects; Science & Technology             ,,,,,929500466,Text,application/pdf,español,,,record,
0016,Las Ranas Y Los Sapos,"S.A., Norma (autor); Julivert, Angels  (autor); Norma (editorial)",1994,,Juvenile Nonfiction; Animals; Frogs & Toads              ,,,,,9789580425977,Text,application/pdf,español,,,record,
0017,Scholastic Spanish Book Fairs Animal Attack Fearsome Reptiles,"Bédoyère, Camilla De la (autor); Inc., QEB Publishing  (autor); QEB Publishing Incorporated (editorial)",2012-01-01,Be careful not to get bitten after you discover the world of the most dangerous reptiles in the world.,Education; General              ,,,,,9781609923549,Text,application/pdf,español / inglés,,,record,
0018,Anfibios Increíbles,"Townsend, John  (autor); Capstone Classroom (editorial)",2008,"Describes how amphibians live, eat, breed, and behave in order to survive.",Juvenile Nonfiction; General; Juvenile Nonfiction; Animals; Reptiles & Amphibians; Nature; Animals; Fish; Nature; Animals; Marine Life          ,,,,,9781410930675,Text,application/pdf,español,,,record,
0019,Qué son los anfibios?,"Kalman, Bobbie (autor); Langille, Jacqueline  (autor); Crabtree Publishing Company (editorial)",2005,"Presenta varios tipos de anfibios, describiendo su fisiología, conducta, hábitat, y ciclo de vida.",Juvenile Nonfiction; Animals; Reptiles & Amphibians; Juvenile Nonfiction; Science & Nature; General; Juvenile Nonfiction; Science & Nature; Biology; Juvenile Nonfiction; Science & Nature; Zoology         ,,,,,9780778788072,Text,application/pdf,español,,,record,
0020,Lifecycles Tadpole to Frog ScholBC Spanish,"Bedpyere, Camilla de la (autor); Bédoyère, Camilla De la  (autor); QEB Publishing Incorporated (editorial)",2009-01-01,,Education; General              ,,,,,9781595668134,Text,application/pdf,inglés,,,record,
